period,treatement,treatdate,individual,npts,iP1,tP1,vP1,sS1,iS1,tS1,vS1,vP2,iP2,tP2,sS2,iS2,tS2,vS2,vT1,tT1,iT1,vT2,tT2,iT2,iZC1,tZC1,vZC1,sZC1,aP0,vP0,iP0,tP0,decay_a,decay_tau,decay_b,iZC2,tZC2,vZC2,sZC2,aP1,aP2,Fmax,Pmax,Flow,Plow,Fhigh,Phigh,Bndwidth
ACC,T8,30-May,61.1,2048.000000,1024.000000,0.000000,0.691244,506.462632,1018.000000,-0.024012,0.518307,-0.866455,1042.000000,0.072035,-2038.018153,1032.000000,0.032016,0.091186,-0.008428,-0.508248,897.000000,-0.002869,0.260127,1089.000000,944.000000,-0.320156,-0.000307,15.482726,-4.280522,-0.036222,102.000000,-0.412201,-1.138807,27.576736,0.008715,1033.000000,0.036018,-0.072208,-1992.005068,0.000060,-0.000061,3540.039062,0.000000,1098.632812,-3.847488,6103.515625,-3.119752,5004.882812
ACC,T8,31-May,61.1,2048.000000,1024.000000,0.000000,0.704179,540.208224,1018.000000,-0.024012,0.511518,-0.878567,1041.000000,0.068033,-2159.023015,1032.000000,0.032016,0.057419,-0.008201,-0.484236,903.000000,-0.003468,0.252123,1087.000000,947.000000,-0.308150,-0.000691,16.121762,-4.092402,-0.036327,104.000000,-0.392191,-1.171934,28.135260,0.009199,1032.000000,0.032016,0.057419,-2159.023015,0.000059,-0.000059,3784.179688,0.000000,1220.703125,-3.300197,6347.656250,-3.050638,5126.953125
EXPT,T8,31-May,61.1,2048.000000,1024.000000,0.000000,0.704179,540.208224,1018.000000,-0.024012,0.511518,-0.878567,1041.000000,0.068033,-2159.023015,1032.000000,0.032016,0.057419,-0.008201,-0.484236,903.000000,-0.003468,0.252123,1087.000000,947.000000,-0.308150,-0.000691,16.121762,-4.092402,-0.036327,104.000000,-0.392191,-1.171934,28.135260,0.009199,1032.000000,0.032016,0.057419,-2159.023015,0.000059,-0.000059,3784.179688,0.000000,1220.703125,-3.300197,6347.656250,-3.050638,5126.953125
EXPT,T8,1-Jun,61.1,2048.000000,1024.000000,0.000000,0.701296,544.323224,1018.000000,-0.024012,0.504503,-0.854111,1041.000000,0.068033,-2023.116940,1032.000000,0.032016,0.026841,-0.008579,-0.492240,901.000000,-0.003653,0.260127,1089.000000,945.000000,-0.316154,-0.001386,14.930849,-4.149462,-0.036706,103.000000,-0.404197,-1.115770,27.364217,0.006296,1032.000000,0.032016,0.026841,-2023.116940,0.000057,-0.000059,3662.109375,0.000000,1220.703125,-3.267824,6225.585938,-3.051383,5004.882812
ACC,T8,4-Jun,61.2,2048.000000,1024.000000,0.000000,0.437084,249.743295,1017.000000,-0.028014,0.328626,-0.813187,1041.000000,0.068033,-1546.012662,1033.000000,0.036018,-0.129807,-0.006967,-0.420205,919.000000,-0.001683,0.220107,1079.000000,957.000000,-0.268131,-0.000037,10.415182,-2.187489,-0.021098,106.000000,-0.344168,-1.039176,31.490720,0.019374,1032.000000,0.032016,-0.010606,-1523.389428,0.000035,-0.000049,4028.320312,0.000000,1342.773438,-3.621196,6591.796875,-3.024386,5249.023438
ACC,T8,5-Jun,61.2,2048.000000,1024.000000,0.000000,0.485022,288.659925,1018.000000,-0.024012,0.378282,-0.888579,1042.000000,0.072035,-1698.440635,1033.000000,0.036018,-0.130268,-0.007274,-0.432211,916.000000,-0.000372,0.212104,1077.000000,955.000000,-0.276135,-0.000130,10.732817,-2.357941,-0.022125,103.000000,-0.364178,-1.111313,33.046421,0.023165,1032.000000,0.032016,0.000805,-1670.361210,0.000039,-0.000053,4028.320312,0.000000,1342.773438,-3.677754,6591.796875,-3.013359,5249.023438
ACC,T8,7-Jun,61.2,2048.000000,1024.000000,0.000000,0.468036,270.107767,1017.000000,-0.028014,0.352323,-0.820081,1042.000000,0.072035,-1489.827941,1033.000000,0.036018,-0.059396,-0.007303,-0.468229,907.000000,-0.002175,0.236115,1083.000000,949.000000,-0.300147,-0.000045,9.242976,-2.555286,-0.023180,102.000000,-0.392191,-1.115955,29.342098,0.018160,1032.000000,0.032016,0.052578,-1439.660553,0.000039,-0.000053,3784.179688,0.000000,1342.773438,-3.141356,6225.585938,-3.100551,4882.812500
ACC,T8,9-Jun,61.2,2048.000000,1024.000000,0.000000,0.433560,253.028142,1017.000000,-0.028014,0.324615,-0.757952,1043.000000,0.076037,-1365.722527,1034.000000,0.040020,-0.152383,-0.006253,-0.456223,910.000000,-0.002269,0.244119,1085.000000,952.000000,-0.288141,-0.000377,9.042647,-2.483827,-0.022801,101.000000,-0.384188,-0.942415,30.715907,0.008636,1033.000000,0.036018,-0.045095,-1362.915990,0.000035,-0.000049,3784.179688,0.000000,1342.773438,-3.181636,6225.585938,-3.062705,4882.812500
ACC,T8,11-Jun,61.2,2048.000000,1024.000000,0.000000,0.465073,246.111333,1016.000000,-0.032016,0.345399,-0.815474,1044.000000,0.080039,-1342.033531,1035.000000,0.044021,-0.157136,-0.007101,-0.484236,903.000000,-0.001903,0.260127,1089.000000,948.000000,-0.304149,-0.000055,9.654474,-2.940489,-0.025238,101.000000,-0.400195,-1.089773,27.209527,0.015382,1033.000000,0.036018,0.047331,-1280.625600,0.000042,-0.000058,3540.039062,0.000000,1220.703125,-3.264286,5737.304688,-3.154460,4516.601562
ACC,T8,12-Jun,61.2,2048.000000,1024.000000,0.000000,0.427786,222.386134,1016.000000,-0.032016,0.318983,-0.750493,1045.000000,0.084041,-1225.597660,1035.000000,0.044021,-0.133122,-0.006056,-0.488238,902.000000,-0.002536,0.264129,1090.000000,947.000000,-0.308150,-0.000745,9.445404,-2.705794,-0.023323,101.000000,-0.404197,-0.967045,27.920029,0.011076,1034.000000,0.040020,-0.037674,-1214.175611,0.000039,-0.000054,3540.039062,0.000000,1220.703125,-3.172813,5615.234375,-3.036164,4394.531250
ACC,T8,15-Jun,61.2,2048.000000,1024.000000,0.000000,0.452578,256.625018,1017.000000,-0.028014,0.341906,-0.792509,1043.000000,0.076037,-1423.957268,1034.000000,0.040020,-0.145983,-0.006752,-0.440215,914.000000,-0.003150,0.244119,1085.000000,954.000000,-0.280137,-0.000439,10.456607,-2.510997,-0.023812,103.000000,-0.368180,-0.979184,32.553453,0.006574,1033.000000,0.036018,-0.034983,-1411.540265,0.000037,-0.000050,3906.250000,0.000000,1342.773438,-3.308274,6347.656250,-3.138371,5004.882812
ACC,T8,16-Jun,61.2,2048.000000,1024.000000,0.000000,0.462798,262.811772,1017.000000,-0.028014,0.349739,-0.812659,1042.000000,0.072035,-1496.741086,1033.000000,0.036018,-0.065146,-0.006865,-0.436213,915.000000,-0.003634,0.244119,1085.000000,955.000000,-0.276135,-0.000061,11.250099,-2.550400,-0.024259,104.000000,-0.360176,-1.019974,32.114458,0.006720,1032.000000,0.032016,0.047078,-1443.389744,0.000038,-0.000050,3906.250000,0.000000,1342.773438,-3.420923,6469.726562,-3.127285,5126.953125
ACC,T8,17-Jun,61.2,2048.000000,1024.000000,0.000000,0.428163,243.993183,1017.000000,-0.028014,0.323583,-0.750419,1042.000000,0.072035,-1383.184118,1033.000000,0.036018,-0.055433,-0.006219,-0.440215,914.000000,-0.003888,0.256125,1088.000000,954.000000,-0.280137,-0.000954,11.313036,-2.365071,-0.022124,103.000000,-0.368180,-0.982034,32.444078,0.002686,1032.000000,0.032016,0.047986,-1333.724996,0.000035,-0.000047,3906.250000,0.000000,1342.773438,-3.327507,6469.726562,-3.171467,5126.953125
ACC,T8,18-Jun,61.2,2048.000000,1024.000000,0.000000,0.424834,248.730137,1017.000000,-0.028014,0.317915,-0.754715,1042.000000,0.072035,-1418.476413,1033.000000,0.036018,-0.071916,-0.006354,-0.428209,917.000000,-0.003799,0.252123,1087.000000,956.000000,-0.272133,-0.000459,9.937379,-2.256120,-0.021994,104.000000,-0.356174,-0.942036,34.628989,0.000685,1032.000000,0.032016,0.034490,-1371.363341,0.000034,-0.000046,4028.320312,0.000000,1342.773438,-3.541239,6591.796875,-3.086655,5249.023438
