period,treatement,treatdate,individual,npts,iP1,tP1,vP1,sS1,iS1,tS1,vS1,vP2,iP2,tP2,sS2,iS2,tS2,vS2,vT1,tT1,iT1,vT2,tT2,iT2,iZC1,tZC1,vZC1,sZC1,aP0,vP0,iP0,tP0,decay_a,decay_tau,decay_b,iZC2,tZC2,vZC2,sZC2,aP1,aP2,Fmax,Pmax,Flow,Plow,Fhigh,Phigh,Bndwidth
ACC,T8,11-Jun,61.2,2048.000000,1024.000000,0.000000,0.362723,191.934893,1016.000000,-0.032016,0.269405,-0.635998,1044.000000,0.080039,-1046.546471,1035.000000,0.044021,-0.122603,-0.005536,-0.484236,903.000000,-0.001490,0.260127,1089.000000,948.000000,-0.304149,-0.000045,7.536881,-2.293326,-0.019685,101.000000,-0.400195,-0.849864,27.204084,0.011998,1033.000000,0.036018,0.036859,-998.767203,0.000033,-0.000045,3540.039062,0.000000,1220.703125,-3.263534,5737.304688,-3.154969,4516.601562
ACC,T8,12-Jun,61.2,2048.000000,1024.000000,0.000000,0.362703,188.551329,1016.000000,-0.032016,0.270484,-0.636312,1045.000000,0.084041,-1039.209787,1035.000000,0.044021,-0.113065,-0.005138,-0.488238,902.000000,-0.002152,0.264129,1090.000000,947.000000,-0.308150,-0.000631,8.011664,-2.293982,-0.019773,101.000000,-0.404197,-0.819843,27.927710,0.009375,1034.000000,0.040020,-0.032119,-1029.595173,0.000033,-0.000046,3540.039062,0.000000,1220.703125,-3.172806,5615.234375,-3.036015,4394.531250
ACC,T8,15-Jun,61.2,2048.000000,1024.000000,0.000000,0.363202,205.956207,1017.000000,-0.028014,0.274361,-0.635909,1043.000000,0.076037,-1142.642369,1034.000000,0.040020,-0.117180,-0.005420,-0.440215,914.000000,-0.002540,0.244119,1085.000000,954.000000,-0.280137,-0.000356,8.400758,-2.014877,-0.019108,103.000000,-0.368180,-0.785676,32.548997,0.005264,1033.000000,0.036018,-0.028099,-1132.781522,0.000030,-0.000040,3906.250000,0.000000,1342.773438,-3.307768,6347.656250,-3.138298,5004.882812
ACC,T8,16-Jun,61.2,2048.000000,1024.000000,0.000000,0.362709,205.952474,1017.000000,-0.028014,0.274118,-0.636884,1042.000000,0.072035,-1172.991121,1033.000000,0.036018,-0.051131,-0.005384,-0.436213,915.000000,-0.002858,0.244119,1085.000000,955.000000,-0.276135,-0.000051,8.820359,-1.998745,-0.019016,104.000000,-0.360176,-0.799321,32.113390,0.005255,1032.000000,0.032016,0.036825,-1131.272579,0.000030,-0.000039,3906.250000,0.000000,1342.773438,-3.420288,6469.726562,-3.127696,5126.953125
ACC,T8,17-Jun,61.2,2048.000000,1024.000000,0.000000,0.363094,206.891014,1017.000000,-0.028014,0.274426,-0.636410,1042.000000,0.072035,-1173.181676,1033.000000,0.036018,-0.047131,-0.005274,-0.440215,914.000000,-0.003309,0.256125,1088.000000,954.000000,-0.280137,-0.000807,9.581721,-2.005665,-0.018762,103.000000,-0.368180,-0.831752,32.425278,0.002276,1032.000000,0.032016,0.040593,-1131.277443,0.000030,-0.000040,3906.250000,0.000000,1342.773438,-3.327049,6469.726562,-3.171312,5126.953125
ACC,T8,18-Jun,61.2,2048.000000,1024.000000,0.000000,0.360106,210.796318,1017.000000,-0.028014,0.269494,-0.639742,1042.000000,0.072035,-1202.445537,1033.000000,0.036018,-0.061028,-0.005389,-0.428209,917.000000,-0.003221,0.252123,1087.000000,956.000000,-0.272133,-0.000389,8.440532,-1.912147,-0.018639,104.000000,-0.356174,-0.798483,34.631587,0.000574,1032.000000,0.032016,0.029171,-1162.548125,0.000029,-0.000039,4028.320312,0.000000,1342.773438,-3.540854,6591.796875,-3.086609,5249.023438
ACC,T8,19-Jun,61.2,2048.000000,1024.000000,0.000000,0.359596,205.063157,1017.000000,-0.028014,0.271406,-0.639703,1043.000000,0.076037,-1160.399421,1034.000000,0.040020,-0.113631,-0.005629,-0.440215,914.000000,-0.003054,0.260127,1089.000000,954.000000,-0.280137,-0.000382,8.811638,-1.935731,-0.018255,103.000000,-0.368180,-0.787666,33.337138,0.000890,1033.000000,0.036018,-0.023442,-1147.981080,0.000030,-0.000041,3906.250000,0.000000,1342.773438,-3.252898,6347.656250,-3.070372,5004.882812
ACC,T8,20-Jun,61.2,2048.000000,1024.000000,0.000000,0.358756,201.487077,1017.000000,-0.028014,0.271458,-0.641045,1043.000000,0.076037,-1149.746177,1034.000000,0.040020,-0.098934,-0.005460,-0.448219,912.000000,-0.003317,0.264129,1090.000000,953.000000,-0.284139,-0.000724,8.637876,-2.013106,-0.018325,104.000000,-0.368180,-0.827683,32.615837,0.001439,1033.000000,0.036018,-0.010388,-1130.222438,0.000030,-0.000041,3784.179688,0.000000,1342.773438,-3.137073,6347.656250,-3.189040,5004.882812
ACC,T8,21-Jun,61.2,2048.000000,1024.000000,0.000000,0.358662,198.107436,1016.000000,-0.032016,0.260587,-0.640428,1043.000000,0.076037,-1154.617697,1034.000000,0.040020,-0.118435,-0.005115,-0.456223,910.000000,-0.003337,0.260127,1089.000000,953.000000,-0.284139,-0.000031,7.671622,-2.071471,-0.018520,102.000000,-0.376184,-0.787705,32.834208,0.001696,1033.000000,0.036018,-0.028166,-1144.917771,0.000030,-0.000041,3784.179688,0.000000,1342.773438,-3.145866,6347.656250,-3.175062,5004.882812
ACC,T8,22-Jun,61.2,2048.000000,1024.000000,0.000000,0.356466,201.556372,1017.000000,-0.028014,0.270783,-0.643220,1043.000000,0.076037,-1146.025544,1034.000000,0.040020,-0.100143,-0.005596,-0.448219,912.000000,-0.003012,0.248121,1086.000000,953.000000,-0.284139,-0.000532,8.474688,-1.957070,-0.017595,104.000000,-0.368180,-0.802586,32.589663,0.004805,1033.000000,0.036018,-0.012334,-1122.681342,0.000030,-0.000041,3906.250000,0.000000,1342.773438,-3.282005,6347.656250,-3.120152,5004.882812
